OVERALL SCORE
CLIP-Score	Ref-CLIP-Score	Sacrebleu	ChrF++
0.2213587686419487	0.3566136509180069	50.000000000000014	43.96996182485801
SCORE PER INSTANCE
Instance	GeneratedCaption	ReferenceCaption	CLIP-Score	RefCLIP-Score	Sacrebleu	CharF++
1	e,   eeeeeeeeee il composto di sale e	Se desiderate realizzare glasse di vari colori, dividete il composto in più ciotoline e aggiungete una piccola quantità di colorante per ciascuna <16>	0.24882447719573975	0.3796786963939667	1.4637944615655873	12.976812907310837
2	e,   eeeeeeeeee il composto di sale e	Grattugiate la scorza di un limone non trattato e raccoglietela in una ciotolina <2>	0.23757503926753998	0.374240905046463	2.4159653599212296	6.913843824796512
3	e,   eeeeeeeeeee il sale ee	così da ottenere dei cubetti non più grandi di 1 centimetro <11>	0.21255286037921906	0.34724271297454834	0.0	3.378907705039845
4	e,   eeeeeeeee il composto di sale e il	In ultimo unite il sale <10>	0.2536727786064148	0.4035361707210541	5.669791110976001	17.106081124092672
5	e,   eeeeeeeee il composto di sale e il	Aggiustate di olio, sale e pepe nero <16>	0.2384093999862671	0.380785197019577	9.080027618567454	20.33828881233918
6	e,   eeeeeeeee il sale ee il sale	Trascorso questo tempo sgranate la quinoa e tenete da parte <5>	0.23057648539543152	0.3669966161251068	2.9559265264674432	5.506719299726164
7	e,   eeeeeeeee il sale e il sale e	Mescolate con una forchetta per amalgamare bene il tutto, regolando la dose di pangrattato a seconda della consistenza <18>	0.20971688628196716	0.3390354514122009	1.33737378839527	5.903424591579893
8	e,   eeeeeeeeeee il sale e il	Posizionatevi sopra un altro disco, formate ancora dei ciuffetti di crema, adagiate i riccioli di cioccolato fondente e chiudete con l'ultimo disco liscio <28>	0.21347081661224365	0.34414130449295044	0.3888295280413733	4.157762075207979
9	e,   eeeeeeee il sale e il sale e il	Immergete la frittella nell'olio caldo <24>	0.2328493297100067	0.3692723214626312	0.0	6.030866998288962
10	e,   eeeeeeee il sale e il sale e il	Quando saranno cotte <16>	0.22665876150131226	0.3671046495437622	0.0	3.161578535731803
11	e,   eeeeeeeee il sale e il sale e	A questo punto sollevate delicatamente tutte le strisce al cacao <28>	0.19960817694664001	0.3252885639667511	0.0	6.0368696970757165
12	e,   eeeeeeeeee il sale e il sale	e poi, una volta sopraggiunto il bollore, unite tutta in una volta la farina <2>	0.23085032403469086	0.37073034048080444	1.8376089065437553	6.649785950141067
13	e,   eeeeeeeeee il sale e il sale	Non appena saranno assorbite aggiungete il resto della farina di nocciole e subito dopo l'uovo rimasto <7>	0.21446165442466736	0.34604933857917786	1.6604670898042333	6.4663095114887605
14	e,   eeeeeeeee il composto di sale e il	Ora dedicatevi al ripieno: ammorbidite in acqua fredda la gelatina in fogli per 10 minuti circa, poi strizzatela bene <7>	0.22723408043384552	0.36374548077583313	0.9005035376417098	6.103597971545125
15	e,   eeeeeeeeeee il sale <	Mentre la pasta cuoce, mettete l’uovo e i tuorli in una ciotola <6>	0.21417440474033356	0.34350237250328064	2.017602272943647	6.940268331033576
16	e,   eeeeeeeeee il sale e il sale	e al miele <3>	0.21633067727088928	0.35221225023269653	5.522397783539471	12.09130925834757
17	e,   eeeeeeeeee il sale e il sale	In una padella sciogliete il burro con l’olio di oliva <6>	0.23347656428813934	0.36817607283592224	2.9559265264674432	6.251305353437388
18	e,   eeeeeeee il sale <8 gust	Per realizzare il risotto con pesto rosso iniziate dalla preparazione del pesto: versate i pomodori secchi in un mixer <1>	0.22399002313613892	0.34914660453796387	1.0071241994100784	4.881771230603379
19	e,   eeeeeeee il sale ee il sale e	Poi aggiungete un mestolo di brodo <6>	0.22085276246070862	0.3593352735042572	0.0	3.734827264239028
20	e,   eeeeeeeeeeee il sale la	Trasferitela nell'altro tegame con il pesto aggiungendo anche i broccoletti <21>	0.2163509875535965	0.3489025831222534	2.5275658895144484	6.812333091739045
21	e,   eeeeeeee il sale e il sale e il	Scaldate l’olio in padella e fatevi soffriggere lo spicchio d’aglio sbucciato, intero, <6>	0.22429890930652618	0.35814619064331055	2.4779853471705344	6.415982926540514
22	e,   eeeeeeeeee il sale e il sale	assicurandovi che siano ben cosparsi, poi poneteli in un colino per scuotere via la farina in eccesso <15>	0.21066945791244507	0.3443315029144287	1.0874245987006856	4.569176932619485
23	e,  eeeeeee ile il sale e il sale e il	Riempite lo stampo con delle sfere di ceramica, o dei legumi secchi, e procedete con la cottura alla cieca : fate cuocere in forno statico preriscaldato a 200° per 15 minuti <11>	0.22205248475074768	0.34905192255973816	0.45919621176971004	5.492370104725701
24	e,   eeeeeeeee il sale e il sale e	e versate anche il latte in cui avevate sciolto il sale <9>	0.23499900102615356	0.3771063983440399	6.506124089578341	17.56047797728764
25	e,   eeeeeeee il sale e il sale e il	Scolate le stelline quando saranno belle dorate <19>	0.228816956281662	0.3681001663208008	0.0	6.960716801075227
26	e,   eeeeeeeeee il sale e il sale	CANAPE' AL PROSCIUTTO COTTO: Per preparare i canapè al prosciutto cotto utilizzate lo stampino a forma di fiore per ricavare 5 fettine di pancarrè <1>	0.23560220003128052	0.3676663935184479	0.0	2.8394209302860824
